i,r,t,Value
lfill-gas,CA_LA,2032,100.0
lfill-gas,CA_N,2010,35.2
lfill-gas,CA_N,2015,55.2
lfill-gas,CA_N,2020,67.2
lfill-gas,CA_N,2023,67.2
lfill-gas,CA_N,2026,70.2
lfill-gas,CA_N,2029,70.2
lfill-gas,CA_N,2032,70.2
lfill-gas,CA_S,2010,6.7
lfill-gas,CA_S,2015,9.6
lfill-gas,CA_S,2020,6.9
lfill-gas,CA_S,2023,6.9
lfill-gas,CA_S,2026,6.9
lfill-gas,CA_S,2029,6.9
lfill-gas,CA_S,2032,6.9
lfill-gas,CA_SE,2010,12.8
lfill-gas,CA_SE,2015,15.2
lfill-gas,CA_SE,2020,15.2
lfill-gas,CA_SE,2023,11.6
lfill-gas,CA_SE,2026,11.6
lfill-gas,CA_SE,2029,11.6
lfill-gas,CA_SE,2032,11.6
lfill-gas,OR_E,2010,11.2
lfill-gas,OR_E,2015,17.6
lfill-gas,OR_E,2020,17.6
lfill-gas,OR_E,2023,17.6
lfill-gas,OR_E,2026,17.6
lfill-gas,OR_E,2029,17.6
lfill-gas,OR_E,2032,17.6
lfill-gas,OR_W,2010,25.1
lfill-gas,OR_W,2015,26.7
lfill-gas,OR_W,2020,26.7
lfill-gas,OR_W,2023,26.7
lfill-gas,OR_W,2026,26.7
lfill-gas,OR_W,2029,26.7
lfill-gas,OR_W,2032,26.7
lfill-gas,WA_E,2010,22.7
lfill-gas,WA_E,2015,22.7
lfill-gas,WA_E,2020,22.7
lfill-gas,WA_E,2023,22.7
lfill-gas,WA_E,2026,22.7
lfill-gas,WA_E,2029,22.7
lfill-gas,WA_E,2032,22.7
lfill-gas,WA_W,2015,4.5
lfill-gas,WA_W,2020,4.5
lfill-gas,WA_W,2023,4.5
lfill-gas,WA_W,2026,4.5
lfill-gas,WA_W,2029,4.5
lfill-gas,WA_W,2032,4.5
Nuclear,CA_S,2010,2240.0
Nuclear,CA_S,2015,2240.0
Nuclear,CA_S,2020,2240.0
Nuclear,CA_S,2023,2240.0
Nuclear,CA_S,2026,2240.0
Nuclear,CA_S,2029,1118.0
Nuclear,WA_E,2010,1151.0
Nuclear,WA_E,2015,1151.0
Nuclear,WA_E,2020,1151.0
